Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
6/18/2017,1952,06/18/17,2017,6,17103962,2D,1800 B/O 23rd St NW,Ethnicity/National Origin,Jewish,Displaying Symbols
6/20/2017,0732,06/24/17,2017,6,17104837,2D,3800 B/O Connecticut Ave NW,Religion,Jewish,Displaying Symbols
6/20/2017,1600,06/20/17,2017,6,17105164,5D,3100 B/O Fort Lincoln Dr NE,Race,Black,Displaying Symbols
6/20/2017,2200,06/22/17,2017,6,17106346,3D,1600 B/O R St NW,Sexual Orientation,,Simple Assault
7/3/2017,2354,07/04/17,2017,7,17113893,2D,1500 B/O 17th St NW,Sexual Orientation,,Threats
3/1/2017,1700,07/07/17,2017,7,17116110,4D,400 B/O Hamilton St NW,Race,Black,Damage/Defacing/Destruction of Property
7/7/2017,2035,07/07/17,2017,7,17116470,2D,Central Ave SE & Southern Ave SE,Sexual Orientation,,ADW
7/9/2017,0001,07/09/17,2017,7,17117228,3D,200 B/O Q St NW,Sexual Orientation,,Threats
7/17/2017,1450,07/17/17,2017,7,17122588,2D,4600 B/O 41st ST NW,Race,White,Damage/Defacing/Destruction of Property
7/16/2017,0245,07/17/17,2017,7,17122902,5D,2100 B/O Queens Chapel Rd NE,Sexual Orientation,,ADW
7/20/2017,0142,07/20/17,2017,7,17124356,4D,6700 B/O Georgia Ave NW,Race,Black,Threats
7/20/2017,1030,07/20/17,2017,7,17124531,1D,900 B/O Constitution Ave NE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
7/20/2017,2138,07/21/17,2017,7,17124884,4D,6100 B/O 16th St NW,Ethnicity/National Origin,Black/African,Simple Assault
7/21/2017,2100,07/24/17,2017,7,17127017,6D,4000 B/O Minnesota Ave NE,Sexual Orientation,,Simple Assault
7/23/2017,0900,07/25/17,2017,7,17127019,6D,4000 B/O Minnesota Ave NE,Sexual Orientation,,Threats
7/27/2017,1956,07/27/17,2017,7,17129123,2D,600 B/O 13th ST NW,Sexual Orientation,,Threats
7/29/2017,1838,07/29/17,2017,7,17130253,2D,1200 B/O New Hampshire Ave NW,Political Affiliation,,ADW
7/30/2017,2339,07/31/17,2017,7,17131013,2D,1200 B/O 18th ST NW,Sexual Orientation,,ADW
8/2/2017,2030,08/02/17,2017,8,17132873,1D,400 B/O Massachusetts Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/3/2017,1000,08/03/17,2017,8,17133148,2D,1700 B/O New York Ave NW,Ethnicity/National Origin,Jewish,Threats
8/5/2017,1908,08/05/17,2017,8,17134640,3D,1200 B/O U St NW,Race,Black,Threats
8/6/2017,0407,08/06/17,2017,8,17134934,2D,1500 B/O 21st ST NW,Race,White,Robbery
8/6/2017,1414,08/06/17,2017,8,17135081,4D,1500 B/O Newton St NW,Sexual Orientation,,Threats
8/12/2017,0343,08/12/17,2017,8,17138668,2D,1800 B/O I St NW,Sexual Orientation,,ADW
8/14/2017,0858,08/14/17,2017,8,17139860,5D,1600 B/O Gales St NE,Sexual Orientation,,Damage/Defacing/Destruction of Property
8/15/2017,2259,08/16/17,2017,8,17141006,1D,100 B/O I St SE,Race,Black,Simple Assault
8/16/2017,0700,08/16/17,2017,8,17141306,2D,1700 B/O 38th ST NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/17/2017,2000,08/18/17,2017,8,17142495,3D,1700 B/O Columbia Rd NW,Race,Black,Damage/Defacing/Destruction of Property
8/18/2017,0950,08/18/17,2017,8,17142554,4D,3500 B/O Georgia Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/24/2017,0900,08/24/17,2017,8,17146354,1D,1200 B/O South Capitol ST SE,Race,Black,Displaying Symbols
8/25/2017,0557,08/25/17,2017,8,17146816,1D,700 B/O 8th St NW,Race,Black,Damage/Defacing/Destruction of Property
8/28/2017,1413,08/28/17,2017,8,17148856,2D,900 B/O 16th ST NW,Race,White,ADW
8/30/2017,0740,08/30/17,2017,8,17149831,3D,Unit B/O O St NW,Gender Identity/Expression,,Threats
8/27/2017,0043,08/30/17,2017,8,17150165,2D,1400 B/O New York Ave NW,Political Affiliation,,Threats
9/3/2017,0220,09/03/17,2017,9,17152445,1D,700 B/O 8th St NW,Race,Black,Damage/Defacing/Destruction of Property
9/6/2017,1200,09/07/17,2017,9,17154874,1D,1500 B/O C ST SE,Ethnicity/National Origin,Jewish,Displaying Symbols
9/9/2017,0234,09/09/17,2017,9,17156097,3D,1000 B/O U St NW,Sexual Orientation,,Simple Assault
9/10/2017,0315,09/10/17,2017,9,17156744,3D,1900 B/O 9th St NW,Race,Black,Threats
9/11/2017,1458,09/11/17,2017,9,17157558,7D,200 B/O Elmira St SW,Sexual Orientation,,Threats
9/11/2017,1720,09/11/17,2017,9,17157628,1D,400 B/O 2nd St NW,Political Affiliation,,Damage/Defacing/Destruction of Property
11/15/2016,0000,09/11/17,2017,9,17157715,4D,1400 B/O Juniper St NW,Religion,Jewish,Displaying Symbols
9/13/2017,0224,09/13/17,2017,9,17158561,2D,1100 B/O Connecticut Ave NW,Political Affiliation,,Robbery
9/15/2017,1230,09/15/17,2017,9,17160176,1D,Unit B/O H St NW,Disability,,Simple Assault
9/16/2017,1812,09/16/17,2017,9,17160966,1D,1500 B/O 2nd St NW,Sexual Orientation,,ADW
9/17/2017,0213,09/17/17,2017,9,17161210,3D,2300 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
9/11/2017,0000,09/18/17,2017,9,17161775,2D,Unit B/O Washington Cir NW,Ethnicity/National Origin,Jewish,Displaying Symbols
9/19/2017,1200,09/20/17,2017,9,17163474,1D,200 B/O H St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
9/21/2017,0700,09/21/17,2017,9,17163970,2D,1600 B/O Rhode Island Ave NW,Sexual Orientation,,Threats
9/21/2017,1400,09/22/17,2017,9,17164646,3D,1700 B/O Florida Ave NW,Race,Black,Threats
9/20/2017,1900,09/22/17,2017,9,17164786,3D,1600 B/O 16th ST NW,Political Affiliation,,Damage/Defacing/Destruction of Property
9/24/2017,1843,09/24/17,2017,9,17166173,2D,3300 B/O Water St NW,Race,Black,Threats
9/26/2017,1642,09/26/17,2017,9,17167395,2D,2600 B/O Connecticut Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
9/26/2017,1700,09/27/17,2017,9,17167710,4D,5400 B/O 3rd St NW,Race,Black,Damage/Defacing/Destruction of Property
9/29/2017,0000,09/30/17,2017,9,17169500,2D,3700 B/O O St NW,Race,Black,Displaying Symbols
10/1/2017,1105,10/01/17,2017,10,17170303,7D,900 B/O Southern Ave SE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
10/5/2017,1918,10/05/17,2017,10,17172974,5D,900 B/O Hamlin ST NE,Sexual Orientation,,Threats
10/5/2017,2356,10/05/17,2017,10,17173088,7D,2900 B/O Martin Luther King Jr Ave SE,Sexual Orientation,,Simple Assault
10/6/2017,0234,10/06/17,2017,10,17173128,3D,1600 B/O Riggs Pl NW,Sexual Orientation,,Simple Assault
10/6/2017,1500,10/06/17,2017,10,17173404,3D,2800 B/O Georgia Ave NW,Gender Identity/Expression,,Threats
10/7/2017,1145,10/07/17,2017,10,17173927,2D,Unit B/O Dupont Cir NW,Gender Identity/Expression,,Simple Assault
10/10/2017,0858,10/10/17,2017,10,17175573,7D,900 B/O Varney ST SE,Sexual Orientation,,Simple Assault
10/9/2017,2100,10/09/17,2017,10,17175645,4D,600 B/O Irving ST NW,Religion,Jewish,Damage/Defacing/Destruction of Property
10/11/2017,1604,10/11/17,2017,10,17176473,3D,2200 B/O 4th ST NW,Race,White,Threats
10/14/2017,1341,10/14/17,2017,10,17178328,2D,1300 B/O G ST NW,Ethnicity/National Origin,Non-European,Damage/Defacing/Destruction of Property
10/16/2017,1408,10/16/17,2017,10,17179503,3D,500 B/O W St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
10/20/2017,0134,10/20/17,2017,10,17181773,6D,1800 B/O 28th St SE,Sexual Orientation,,Simple Assault
10/20/2017,0507,10/20/17,2017,10,17181830,5D,2100 B/O Queens Chapel Rd NE,Race,White,ADW
10/22/2017,1841,10/22/17,2017,10,17183499,2D,Theodore Roosevelt Bridge,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
10/23/2017,2228,10/23/17,2017,10,17184336,7D,4200 B/O 4th ST SE,Sexual Orientation,,Threats
10/24/2017,0854,10/24/17,2017,10,17184502,1D,1400 B/O C St SE,Sexual Orientation,,Threats
10/24/2017,1244,10/24/17,2017,10,17184552,2D,1100 B/O Vermont Ave NW,Sexual Orientation,,Simple Assault
10/28/2017,2230,10/28/17,2017,10,17187517,1D,1300 B/O Potomac Ave SE,Sexual Orientation,,Damage/Defacing/Destruction of Property
10/29/2017,0248,10/29/17,2017,10,17187653,2D,1400 B/O I ST NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
10/30/2017,2126,10/30/17,2017,10,17188581,4D,600 B/O Newton St NW,Ethnicity/National Origin,Latino/Hispanic,Robbery
10/31/2017,1730,11/01/17,2017,11,17189828,2D,2400 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/2/2017,1315,11/02/17,2017,11,17190338,2D,1000 B/O Wisconsin Ave NW,Race,Black,ADW
11/5/2017,0040,11/05/17,2017,11,17191866,3D,Unit B/O Rhode Island Ave NW,Sexual Orientation,,Threats
11/5/2017,0100,11/05/17,2017,11,17191903,4D,4400 B/O South Dakota Ave NE,Ethnicity/National Origin,Black/African,ADW
11/5/2017,1225,11/06/17,2017,11,17192094,2D,2600 B/O Virginia Ave NW,Race,Black,Damage/Defacing/Destruction of Property
11/5/2017,1700,11/06/17,2017,11,17192415,7D,4600 B/O Martin Luther King Jr Ave SW,Sexual Orientation,,Damage/Defacing/Destruction of Property
11/11/2017,2300,11/12/17,2017,11,17195967,1D,700 B/O Pennsylvania Ave SE,Sexual Orientation,,Threats
11/14/2017,1341,11/14/17,2017,11,17197293,2D,1300 B/O 14th ST NW,Sexual Orientation,,Robbery
11/15/2017,1711,11/15/17,2017,11,17198032,1D,600 B/O New Jersey Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/19/2017,0318,11/19/17,2017,11,17200228,3D,1600 B/O R St NW,Sexual Orientation,,Simple Assault
11/20/2017,0051,11/20/17,2017,11,17200709,3D,900 B/O U St NW,Sexual Orientation,,ADW
11/21/2017,0940,11/21/17,2017,11,17201401,1D,200 B/O K St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/22/2017,1840,11/22/17,2017,11,17202404,1D,800 B/O 7th ST NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/23/2017,0830,11/24/17,2017,11,17203063,2D,1400 B/O 26th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/23/2017,2230,11/24/17,2017,11,17203090,2D,2300 B/O 40th Pl NW,Race,Black,Damage/Defacing/Destruction of Property
11/24/2017,1947,11/24/17,2017,11,17203324,3D,1500 B/O 9th St NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
11/26/2017,0855,11/26/17,2017,11,17204180,1D,400 B/O Massachusetts Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/26/2017,1348,11/26/17,2017,11,17204268,1D,500 B/O I St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/27/2017,1041,11/27/17,2017,11,17204700,1D,900 B/O 7th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
11/27/2017,1354,11/27/17,2017,11,17204853,2D,1300 B/O 14th ST NW,Race,White,Threats
11/29/2017,1731,11/29/17,2017,11,17206400,2D,900 B/O Massachusetts Ave NW,Race,Black,Damage/Defacing/Destruction of Property
11/29/2017,2224,11/29/17,2017,11,17206420,7D,2700 B/O Bruce Pl SE,Gender Identity/Expression,,Robbery
11/23/2017,1500,11/30/17,2017,11,17206791,1D,500 B/O H St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
12/2/2017,0544,12/02/17,2017,12,17207852,6D,100 B/O 46th Pl NE,Sexual Orientation,,Simple Assault
12/2/2017,1254,12/02/17,2017,12,17207984,5D,900 B/O Rhode Island Ave NE,Ethnicity/National Origin,Unspecified,Simple Assault
12/6/2017,2340,12/07/17,2017,12,17210790,5D,1700 B/O North Capitol St NE,Race,Black,ADW
12/7/2017,1950,12/07/17,2017,12,17211297,1D,300 B/O Pennsylvania Ave SE,Race,Black,Simple Assault
12/12/2017,1912,12/12/17,2017,12,17214121,1D,400 B/O 2nd St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
12/14/2017,2316,12/13/17,2017,12,17215419,3D,3000 B/O 14th ST NW,Sexual Orientation,,ADW
12/17/2017,0940,12/17/17,2017,12,17217042,2D,1200 B/O 34th St NW,Race,Black,Damage/Defacing/Destruction of Property
12/23/2017,1300,12/23/17,2017,12,17220499,1D,200 B/O 13th ST NE,Race,Black,Damage/Defacing/Destruction of Property
12/23/2017,1600,12/23/17,2017,12,17220567,4D,1600 B/O Kalmia RD NW,Race,Black,Threats
12/27/2017,1155,12/27/17,2017,12,17222129,1D,1000 B/O K St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
12/27/2017,2140,12/27/17,2017,12,17222427,1D,1100 B/O Pennsylvania Ave SE,Ethnicity/National Origin,Arab/Middle Eastern,ADW
12/22/2017,2100,12/28/17,2017,12,17222599,1D,600 B/O Water St SW,Sexual Orientation,,Simple Assault
12/4/2017,0224,12/28/17,2017,12,17222665,3D,1300 B/O 14th ST NW,Sexual Orientation,,Stalking
12/30/2017,1610,12/30/17,2017,12,17223754,6D,2000 B/O 38th ST SE,Race,Black,Damage/Defacing/Destruction of Property
12/31/2017,1400,01/13/18,2018,1,18006370,7D,1300 B/O Southern Ave SE,Gender Identity/Expression,,Sexual Abuse
1/17/2018,1903,01/17/18,2018,1,18009204,5D,1400 B/O Staples St NE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
1/18/2018,1838,01/18/18,2018,1,18009754,7D,300 B/O Livingston Ter SE,Gender Identity/Expression,,Simple Assault
1/19/2018,0446,01/19/18,2018,1,18009995,3D,3100 B/O 14th St NW,Sexual Orientation,,Simple Assault
1/19/2018,1202,01/19/18,2018,1,18010118,3D,1100 B/O Rhode Island Ave NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
1/20/2018,0258,01/20/18,2018,1,18010652,2D,700 B/O 11th St NW,Sexual Orientation,,Simple Assault
1/21/2018,0222,01/21/18,2018,1,18011228,1D,800 B/O 7th St NW,Race,Black,Displaying Symbols
1/28/2018,2004,01/28/18,2018,1,18015847,5D,1500 B/O Isherwood St NE,Sexual Orientation,,ADW
1/29/2018,1632,01/29/18,2018,1,18016303,2D,2600 B/O Connecticut Ave NW,Race,White,Simple Assault
1/31/2018,1816,02/01/18,2018,2,18017482,7D,3200 B/O Stanton Rd SE,Race,White,ADW
2/2/2018,1330,02/02/18,2018,2,18018660,6D,3700 B/O Minnesota Ave NE,Gender Identity/Expression,,ADW
2/3/2018,0203,02/03/18,2018,2,18018893,5D,1800 B/O New York Ave NE,Sexual Orientation,,ADW
2/11/2018,1634,02/11/18,2018,2,18023621,2D,1300 B/O Connecticut Ave NW,Sexual Orientation,,Threats
2/14/2018,0710,02/14/18,2018,2,18025351,5D,1400 B/O Okie St NE,Sexual Orientation,,Threats
2/17/2018,2323,02/18/18,2018,2,18027375,5D,2800 B/O 12th St NE,Ethnicity/National Origin,Asian,Simple Assault
2/20/2018,1245,02/18/18,2018,2,18028707,3D,900 B/O Massachusetts Ave NW,Gender Identity/Expression,,Simple Assault
2/22/2018,1240,02/22/18,2018,2,18030040,5D,1200 B/O 5th St NE,Sexual Orientation,,ADW
2/24/2018,1515,02/24/18,2018,2,18031276,1D,100 B/O L St NW,Gender Identity/Expression,,Simple Assault
2/25/2018,1826,02/25/18,2018,2,18031870,2D,1600 B/O 35th St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
3/4/2018,0352,03/04/18,2018,3,18035701,5D,200 B/O K St NE,Gender Identity/Expression,,Simple Assault
3/4/2018,0345,03/04/18,2018,3,18035702,5D,2200 B/O New York Ave NE,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
3/4/2018,1553,03/04/18,2018,3,18035915,3D,1700 B/O U St NW,Sexual Orientation,,Simple Assault
3/6/2018,1230,03/07/18,2018,3,18037412,1D,400 B/O M St SE,Gender Identity/Expression,,Threats
3/2/2018,2100,03/07/18,2018,3,18037611,2D,2400 B/O M St NW,Religion,Jewish,Theft
3/1/2018,0100,03/10/18,2018,3,18039188,2D,4200 B/O Massachusetts Ave NW,Sexual Orientation,,Threats
3/16/2018,0100,03/16/18,2018,3,18042460,2D,1800 B/O N St NW,Political Affiliation,,ADW
3/16/2018,0001,03/16/18,2018,3,18042877,1D,200 B/O 13th St NE,Race,Black,Damage/Defacing/Destruction of Property
3/20/2018,1309,03/20/18,2018,3,18044954,1D,1100 B/O 4th ST SW,Race,Black,Threats
3/23/2018,1443,03/23/18,2018,3,18046627,4D,7700 B/O 16th ST NW,Religion,Jewish,Threats
3/24/2018,1449,03/24/18,2018,3,18047210,3D,1800 B/O Adams Mill Rd NW,Race,White,Simple Assault
3/26/2018,2027,03/26/18,2018,3,18048419,2D,3300 B/O Wisconsin Ave NW,Race,Black,Damage/Defacing/Destruction of Property
3/27/2018,1806,03/27/18,2018,3,18048869,1D,600 B/O 7th St NW,Sexual Orientation,,Simple Assault
3/27/2018,1853,03/27/18,2018,3,18048916,1D,900 B/O L'Enfant Plaza SW,Race,White,Simple Assault
4/3/2018,0701,04/03/18,2018,4,18052609,1D,700 B/O 8th St NW,Race,Black,Theft
4/4/2018,1540,04/04/18,2018,4,18054104,5D,500 B/O Penn St NE,Ethnicity/National Origin,Latino/Hispanic,Sexual Abuse
4/5/2018,1746,04/05/18,2018,4,18054222,2D,1000 B/O New York Ave NW,Race,White,Simple Assault
4/3/2018,1930,04/05/18,2018,4,18054224,1D,1000 B/O 13th St SE,Religion,Muslim,Threats
4/10/2018,0305,04/10/18,2018,4,18056813,3D,900 B/O Florida Ave NW,Race,White,Simple Assault
4/14/2018,2156,04/14/18,2018,4,18059835,2D,1200 B/O 28th ST NW,Religion,Muslim,Damage/Defacing/Destruction of Property
4/15/2018,0031,04/15/18,2018,4,18059930,3D,2000 B/O 10th St NW,Sexual Orientation,,ADW
4/15/2018,1512,04/15/18,2018,4,18060233,4D,3700 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
4/15/2018,2302,04/16/18,2018,4,18060442,4D,3600 B/O 14th ST NW,Ethnicity/National Origin,Latino/Hispanic,Robbery
4/17/2018,2038,04/17/18,2018,4,18061553,2D,1200 B/O G St NW,Ethnicity/National Origin,Black/African,Robbery
4/20/2018,1118,04/20/18,2018,4,18063031,3D,2500 B/O Georgia Ave NW,Race,Black,Damage/Defacing/Destruction of Property
4/21/2018,1432,04/21/18,2018,4,18063758,2D,1800 B/O M St NW,Race,White,Threats
4/22/2018,2111,04/22/18,2018,4,18064464,7D,4000 B/O 4th ST SE,Sexual Orientation,,Threats
4/23/2018,1820,04/23/18,2018,4,18064958,3D,3100 B/O Mount Pleasant St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
4/30/2018,1639,04/30/18,2018,4,18068967,2D,Unit B/O 15th St SW,Race,Black,Threats
5/11/2018,2213,05/12/18,2018,5,18076135,7D,100 B/O Galveston Pl SW,Gender Identity/Expression,,Simple Assault
5/16/2018,1130,05/16/18,2018,5,18078733,2D,1000 B/O Wisconsin Ave NW,Sexual Orientation,,Threats
5/4/2018,1630,05/16/18,2018,5,18078915,2D,1400 B/O New York Ave NW,Race,Black,Threats
5/17/2018,1610,05/18/18,2018,5,18079974,2D,1300 B/O New York Ave NW,Ethnicity/National Origin,Latino/Hispanic,Threats
5/19/2018,2000,05/19/18,2018,5,18080756,3D,1400 B/O Irving St NW,Sexual Orientation,,Simple Assault
5/19/2018,2310,05/20/18,2018,5,18080901,1D,1200 B/O Half St SE,Ethnicity/National Origin,Latino/Hispanic,Threats
5/20/2018,0100,05/21/18,2018,5,18081726,3D,700 B/O Harvard St NW,Sexual Orientation,,Robbery
5/25/2018,1430,05/26/18,2018,5,18084660,4D,1400 B/O Perry Pl NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
5/27/2018,0310,05/27/18,2018,5,18085245,2D,1900 B/O M St NW,Race,Black,Simple Assault
5/27/2018,1828,05/27/18,2018,5,18085566,3D,1300 B/O 14th St NW,Sexual Orientation,,Simple Assault
6/1/2018,1045,06/01/18,2018,6,18088385,1D,700 B/O I St NE,Sexual Orientation,,Simple Assault
6/1/2018,1928,06/01/18,2018,6,18088713,5D,900 B/O Rhode Island Ave NE,Ethnicity/National Origin,Latino/Hispanic,Threats
6/4/2018,0949,06/04/18,2018,6,18090063,5D,1100 B/O Oates St NE,Gender Identity/Expression,,Simple Assault
6/5/2018,2116,06/05/18,2018,6,18091166,4D,400 B/O Peabody St NW,Sexual Orientation,,Simple Assault
6/5/2018,2307,06/06/18,2018,6,18091220,1D,500 B/O H St NW,Race,Black,Threats
6/6/2018,1736,06/06/18,2018,6,18091675,4D,5600 B/O 1st St NE,Race,Black,Threats
6/7/2018,0004,06/07/18,2018,6,18091886,1D,100 B/O 7th St NW,Sexual Orientation,,Simple Assault
6/10/2018,1700,06/10/18,2018,6,18094116,3D,1600 B/O R St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
6/10/2018,1650,06/10/18,2018,6,18094124,1D,1600 B/O A St SE,Race,White,Simple Assault
6/13/2018,1746,06/13/18,2018,6,18096064,2D,1600 B/O P St NW,Ethnicity/National Origin,Latino/Hispanic,Threats
6/13/2018,2350,06/14/18,2018,6,18096291,6D,100 B/O 47th St NE,Sexual Orientation,,Robbery
6/15/2018,1423,06/15/18,2018,6,18097244,2D,5300 B/O Wisconsin Ave NW,Race,Black,Simple Assault
6/16/2018,0040,06/16/18,2018,6,18097619,3D,1600 B/O 17th St NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
6/16/2018,0213,06/16/18,2018,6,18097663,6D,3800 B/O Minnesota Ave NE,Sexual Orientation,,Threats
6/17/2018,0402,06/17/18,2018,6,18098318,2D,1700 B/O M St NW,Gender Identity/Expression,,Simple Assault
6/17/2018,2215,06/18/18,2018,6,18098804,6D,1300 B/O Good Hope Rd SE,Gender Identity/Expression,,Robbery
6/21/2018,1206,06/21/18,2018,6,18101001,5D,1200 B/O 6th St NE,Ethnicity/National Origin,Latino/Hispanic,Threats
6/22/2018,2001,06/22/18,2018,6,18101936,4D,7000 B/O Blair Rd NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
6/26/2018,1445,06/26/18,2018,6,18104343,2D,1000 B/O 14th St NW,Ethnicity/National Origin,Asian,ADW
6/27/2018,1728,06/27/18,2018,6,18104966,2D,1200 B/O Wisconsin Ave NW,Sexual Orientation,,Stalking
6/29/2018,0049,06/29/18,2018,6,18105946,3D,2300 B/O 18th St NW,Political Affiliation,,ADW
6/29/2018,0117,06/29/18,2018,6,18105958,3D,1300 B/O U St NW,Ethnicity/National Origin,Latino/Hispanic,ADW
6/29/2018,0658,06/29/18,2018,6,18106025,1D,300 B/O D St SW,Ethnicity/National Origin,Arab/Middle Eastern,Damage/Defacing/Destruction of Property
6/29/2018,1817,06/29/18,2018,6,18106333,5D,1200 B/O Quincy St NE,Race,White,Simple Assault
6/29/2018,2145,06/30/18,2018,6,18106702,2D,3100 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/1/2018,1711,07/01/18,2018,7,18107476,2D,4400 B/O Connecticut Ave NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
7/2/2018,1714,07/02/18,2018,7,18108061,2D,1400 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/2/2018,1853,07/02/18,2018,7,18108146,2D,4500 B/O Garfield St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/3/2018,2040,07/03/18,2018,7,18108875,3D,3100 B/O 14th St NW,Sexual Orientation,,Simple Assault
7/4/2018,1413,07/04/18,2018,7,18109277,7D,4600 B/O Martin Luther King Jr Ave SW,Gender Identity/Expression,,Threats
7/6/2018,0007,07/06/18,2018,7,18110306,1D,800 B/O 7th ST NW,Gender Identity/Expression,,Simple Assault
7/6/2018,1309,07/06/18,2018,7,18110527,5D,2400 B/O Market St NE,Race,Asian,Simple Assault
7/7/2018,2334,07/07/18,2018,7,18111503,1D,700 B/O 6th St NW,Race,Black,Simple Assault
7/9/2018,0631,07/09/18,2018,7,18112174,2D,1700 B/O Rhode Island Ave NW,Race,Black,Simple Assault
7/11/2018,1546,07/11/18,2018,7,18113700,2D,1700 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Asian,Threats
7/14/2018,2229,07/15/18,2018,7,18115852,7D,3000 B/O 5th ST SE,Sexual Orientation,,Robbery
7/15/2018,0358,07/15/18,2018,7,18115984,2D,700 B/O 10th St NW,Sexual Orientation,,Simple Assault
7/19/2018,1625,07/19/18,2018,7,18118973,1D,700 B/O 9th ST NW,Ethnicity/National Origin,Black/African,Simple Assault
7/21/2018,0001,07/21/18,2018,7,18120309,2D,2300 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
7/25/2018,2300,07/26/18,2018,7,18123007,1D,700 B/O 4th ST SE,Race,White,Damage/Defacing/Destruction of Property
7/28/2018,1700,07/28/18,2018,7,18124744,3D,800 B/O Mount Vernon Pl NW,Sexual Orientation,,Simple Assault
8/2/2018,0752,08/02/18,2018,8,18127579,7D,3300 B/O Wheeler Rd SE,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
7/30/2018,1259,08/02/18,2018,8,18127751,2D,800 B/O 16th St NW,Religion,Jewish,Damage/Defacing/Destruction of Property
8/6/2018,0141,08/06/18,2018,8,18129957,2D,1200 B/O Wisconsin Ave NW,Race,Black,ADW
8/9/2018,0139,08/09/18,2018,8,18131818,3D,1900 B/O 14th St NW,Race,Black,Simple Assault
8/10/2018,0927,08/10/18,2018,8,18132548,5D,2100 B/O I St NE,Gender Identity/Expression,,Threats
8/10/2018,1822,08/10/18,2018,8,18132857,2D,2500 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
8/11/2018,0212,08/11/18,2018,8,18133101,4D,6500 B/O Georgia Ave NW,Sexual Orientation,,Simple Assault
8/12/2018,1700,08/12/18,2018,8,18133968,2D,1300 B/O New York Ave NW,Political Affiliation,,Simple Assault
8/12/2018,2300,08/13/18,2018,8,18134315,7D,1200 B/O Valley Ter SE,Sexual Orientation,,Damage/Defacing/Destruction of Property
8/15/2018,0000,08/15/18,2018,8,18135346,5D,1300 B/O Brentwood Rd NE,Sexual Orientation,,Threats
8/8/2018,0940,08/16/18,2018,8,18136300,3D,3600 B/O 16th St NW,Sexual Orientation,,Threats
8/17/2018,1353,08/17/18,2018,8,18136864,2D,2000 B/O P St NW,Ethnicity/National Origin,Asian,Simple Assault
8/18/2018,1820,08/18/18,2018,8,18137691,6D,5000 B/O Hayes St NE,Gender Identity/Expression,,Threats
8/21/2018,1815,08/21/18,2018,8,18139639,2D,6600 B/O 31st St NW,Race,Black,ADW
8/25/2018,2030,08/25/18,2018,8,18142329,2D,2300 B/O M St NW,Ethnicity/National Origin,Jewish,Damage/Defacing/Destruction of Property
